,Batsman,Runs,Balls_Faced,Fours,Sixes,Strike_Rate
0,SC Ganguly,529,540,76,9,97.96
1,BB McCullum,1557,1278,184,70,121.83
2,RT Ponting,45,75,2,1,60.0
3,R Dravid,905,855,148,7,105.85
4,W Jaffer,77,95,9,1,81.05
5,V Kohli,1832,1630,231,36,112.39
6,JH Kallis,1036,1024,150,15,101.17
7,CL White,107,120,12,2,89.17
8,MV Boucher,22,24,3,0,91.67
9,PA Patel,1904,1630,283,31,116.81
10,ML Hayden,599,482,81,20,124.27
11,MEK Hussey,828,791,105,16,104.68
12,K Goel,160,166,13,7,96.39
13,JR Hopes,167,138,21,6,121.01
14,T Kohli,7,13,0,1,53.85
15,YK Pathan,361,256,47,16,141.02
16,SR Watson,1421,1292,172,54,109.98
17,M Kaif,22,39,4,0,56.41
18,G Gambhir,2277,1945,310,34,117.07
19,V Sehwag,1593,1160,230,46,137.33
20,S Dhawan,2751,2308,368,56,119.19
21,AC Gilchrist,1385,1080,191,49,128.24
22,Y Venugopal Rao,76,102,9,0,74.51
23,VVS Laxman,187,191,24,4,97.91
24,A Symonds,72,86,12,0,83.72
25,WP Saha,684,520,96,19,131.54
26,DJ Hussey,134,119,18,4,112.61
27,L Ronchi,34,37,6,1,91.89
28,ST Jayasuriya,514,403,61,27,127.54
29,DJ Thornely,4,21,0,0,19.05
30,RV Uthappa,1850,1541,239,43,120.05
31,PR Shah,30,34,1,2,88.24
32,S Chanderpaul,25,33,4,0,75.76
33,LRPL Taylor,155,125,18,7,124.0
34,KC Sangakkara,522,468,81,6,111.54
35,Kamran Akmal,51,41,8,2,124.39
36,DS Lehmann,4,3,1,0,133.33
37,SK Raina,1556,1204,197,55,129.24
38,SM Pollock,1,6,0,0,16.67
39,Shahid Afridi,43,18,4,3,238.89
40,GC Smith,374,401,59,0,93.27
41,IK Pathan,92,69,12,2,133.33
42,DJ Bravo,123,116,15,5,106.03
43,M Rawat,0,2,0,0,0.0
44,AM Rahane,1957,1739,263,34,112.54
45,Shoaib Malik,17,14,3,0,121.43
46,SM Katich,145,110,19,5,131.82
47,DPMD Jayawardene,611,521,93,13,117.27
48,B Chipli,55,79,7,1,69.62
49,DB Das,58,55,6,3,105.45
50,MK Pandey,1024,917,135,20,111.67
51,P Kumar,6,8,1,0,75.0
52,SA Asnodkar,278,216,38,9,128.7
53,Salman Butt,104,106,18,1,98.11
54,AB Agarkar,20,15,1,2,133.33
55,BJ Hodge,148,169,18,4,87.57
56,HH Gibbs,447,437,54,16,102.29
57,SE Marsh,779,753,118,8,103.45
58,RR Sarwan,45,43,6,1,104.65
59,SP Fleming,120,113,17,2,106.19
60,S Vidyut,103,81,16,2,127.16
61,Mohammad Hafeez,28,37,4,1,75.68
62,LR Shukla,2,5,0,0,40.0
63,RG Sharma,1296,1150,148,49,112.7
64,S Badrinath,182,246,27,1,73.98
65,MS Dhoni,50,66,9,0,75.76
66,YV Takawale,121,137,19,1,88.32
67,AB de Villiers,735,617,100,20,119.12
68,S Anirudha,26,30,5,0,86.67
69,SB Styris,8,13,0,0,61.54
70,A Chopra,27,41,4,0,65.85
71,J Arunkumar,23,24,5,0,95.83
72,DB Ravi Teja,53,60,7,0,88.33
73,Misbah-ul-Haq,27,19,4,1,142.11
74,MK Tiwary,224,232,25,5,96.55
75,TM Dilshan,488,456,77,8,107.02
76,SR Tendulkar,1143,1035,175,10,110.43
77,Yuvraj Singh,193,197,26,5,97.97
78,LA Pomersbach,104,81,11,4,128.4
79,LPC Silva,9,8,2,0,112.5
80,SP Goswami,163,176,21,1,92.61
81,Sohail Tanvir,13,8,1,1,162.5
82,DR Smith,1213,1003,155,47,120.94
83,Niraj Patel,45,59,8,0,76.27
84,Younis Khan,3,7,0,0,42.86
85,JD Ryder,440,334,58,13,131.74
86,KP Pietersen,392,301,47,12,130.23
87,T Henderson,2,10,0,0,20.0
88,A Flintoff,14,15,1,1,93.33
89,RS Bopara,130,153,11,3,84.97
90,CH Gayle,2390,1834,266,144,130.32
91,PC Valthaty,312,290,45,10,107.59
92,RJ Quiney,65,74,9,1,87.84
93,JP Duminy,235,250,30,6,94.0
94,AD Mascarenhas,4,2,1,0,200.0
95,RA Jadeja,52,45,8,1,115.56
96,AA Bilakhia,23,33,2,0,69.7
97,Harbhajan Singh,62,54,8,1,114.81
98,AM Nayar,65,76,8,1,85.53
99,MN van Wyk,28,27,5,0,103.7
100,R Bishnoi,18,14,1,2,128.57
101,M Vijay,1574,1416,176,46,111.16
102,DA Warner,2667,2034,338,81,131.12
103,LA Carseldine,38,36,7,0,105.56
104,NV Ojha,494,503,58,21,98.21
105,S Sohal,279,238,26,15,117.23
106,TL Suman,185,185,22,6,100.0
107,Yashpal Singh,17,37,2,0,45.95
108,AN Ghosh,7,7,1,0,100.0
109,J Botha,45,54,6,1,83.33
110,GJ Bailey,131,131,24,0,100.0
111,M Manhas,46,55,6,1,83.64
112,RE van der Merwe,36,37,3,2,97.3
113,Mohammad Ashraful,2,12,0,0,16.67
114,CA Pujara,215,236,35,1,91.1
115,OA Shah,23,18,1,2,127.78
116,AD Mathews,10,17,0,1,58.82
117,MS Bisla,474,460,70,11,103.04
118,AP Tare,226,214,27,7,105.61
119,AA Jhunjhunwala,24,36,2,1,66.67
120,JM Kemp,2,3,0,0,66.67
121,MJ Lumb,225,157,37,5,143.31
122,DR Martyn,1,3,0,0,33.33
123,FY Fazal,76,82,11,0,92.68
124,SS Tiwary,155,162,20,2,95.68
125,MD Mishra,129,128,17,3,100.78
126,JA Morkel,18,14,3,0,128.57
127,KD Karthik,397,414,55,6,95.89
128,Mandeep Singh,596,523,88,8,113.96
129,PD Collingwood,26,19,3,1,136.84
130,KA Pollard,53,54,4,2,98.15
131,KM Jadhav,67,83,12,1,80.72
132,AC Voges,7,9,1,0,77.78
133,AT Rayudu,738,696,89,22,106.03
134,AB Barath,18,14,2,1,128.57
135,S Sriram,13,12,2,0,108.33
136,C Madan,15,21,3,0,71.43
137,AG Paunikar,49,61,9,0,80.33
138,R McLaren,12,19,1,0,63.16
139,Anirudh Singh,18,22,3,0,81.82
140,IR Jaggi,25,37,3,0,67.57
141,MA Agarwal,944,806,113,30,117.12
142,Sunny Singh,15,8,3,0,187.5
143,UBT Chand,120,149,13,6,80.54
144,AJ Finch,860,773,116,23,111.25
145,DJ Jacobs,83,93,9,4,89.25
146,Z Khan,0,3,0,0,0.0
147,AL Menaria,8,8,0,1,100.0
148,AUK Pathan,14,6,2,1,233.33
149,AS Raut,7,6,1,0,116.67
150,TD Paine,10,29,0,0,34.48
151,JEC Franklin,79,96,10,1,82.29
152,STR Binny,18,25,3,0,72.0
153,BJ Haddin,18,11,2,1,163.64
154,R Sathish,0,7,0,0,0.0
155,RV Gomez,0,1,0,0,0.0
156,NLTC Perera,20,18,4,0,111.11
157,M Klinger,50,50,7,0,100.0
158,EJG Morgan,176,194,24,3,90.72
159,Y Nagar,2,3,0,0,66.67
160,AC Blizzard,99,77,20,0,128.57
161,CA Ingram,14,18,2,0,77.78
162,Y Gnaneswara Rao,15,13,2,0,115.38
163,CJ Ferguson,17,24,2,0,70.83
164,MS Wade,2,7,0,0,28.57
165,RN ten Doeschate,6,7,1,0,85.71
166,F du Plessis,1135,869,140,36,130.61
167,RE Levi,62,58,9,2,106.9
168,WD Parnell,11,15,2,0,73.33
169,DJ Harris,57,66,8,1,86.36
170,AB McDonald,30,19,4,2,157.89
171,MN Samuels,9,26,1,0,34.62
172,DT Christian,2,4,0,0,50.0
173,N Saini,80,86,10,0,93.02
174,MJ Clarke,76,64,11,0,118.75
175,SPD Smith,488,413,66,9,118.16
176,AP Majumdar,21,15,4,0,140.0
177,Azhar Mahmood,22,24,3,1,91.67
178,PA Reddy,103,110,10,1,93.64
179,SD Chitnis,1,6,0,0,16.67
180,MC Juneja,20,18,3,0,111.11
181,MDKJ Perera,14,13,3,0,107.69
182,KK Nair,504,420,73,10,120.0
183,GH Vihari,59,92,5,0,64.13
184,M Vohra,662,543,71,25,121.92
185,Gurkeerat Singh,35,39,6,0,89.74
186,KL Rahul,1246,990,140,48,125.86
187,BJ Rohrer,0,1,0,0,0.0
188,Q de Kock,1281,1007,147,49,127.21
189,BB Samantray,15,22,2,0,68.18
190,KV Sharma,7,9,1,0,77.78
191,BMAJ Mendis,1,2,0,0,50.0
192,R Ashwin,12,26,2,0,46.15
193,DA Miller,69,82,6,3,84.15
194,LJ Wright,8,9,0,1,88.89
195,A Mishra,1,5,0,0,20.0
196,DJG Sammy,8,6,2,0,133.33
197,A Mukund,14,16,1,0,87.5
198,SV Samson,833,735,100,24,113.33
199,JP Faulkner,14,20,2,0,70.0
200,A Ashish Reddy,5,7,1,0,71.43
201,CM Gautam,68,64,6,4,106.25
202,UA Birla,6,9,1,0,66.67
203,MC Henriques,161,144,17,3,111.81
204,GJ Maxwell,272,221,37,9,123.08
205,NJ Maddinson,20,21,4,0,95.24
206,AR Patel,11,13,1,0,84.62
207,CA Lynn,779,553,99,37,140.87
208,CJ Anderson,52,64,7,2,81.25
209,S Rana,20,23,2,1,86.96
210,SA Yadav,659,478,97,20,137.87
211,Shakib Al Hasan,37,38,5,1,97.37
212,BR Dunk,40,36,7,0,111.11
213,RR Rossouw,20,23,2,1,86.96
214,LMP Simmons,542,480,67,19,112.92
215,VH Zol,22,21,2,1,104.76
216,Ankit Sharma,27,23,4,1,117.39
217,KK Cooper,7,2,0,1,350.0
218,SS Iyer,674,645,82,18,104.5
219,AD Russell,41,17,5,3,241.18
220,HH Pandya,27,43,3,1,62.79
221,JC Buttler,839,577,111,35,145.41
222,P Negi,4,6,1,0,66.67
223,MJ Guptill,219,157,22,11,139.49
224,DJ Hooda,12,25,1,0,48.0
225,RR Pant,281,252,36,6,111.51
226,SW Billings,113,88,18,0,128.41
227,PP Chawla,15,13,3,0,115.38
228,KS Williamson,291,270,38,4,107.78
229,MP Stoinis,99,93,14,2,106.45
230,UT Khawaja,107,79,13,3,135.44
231,HM Amla,261,206,33,8,126.7
232,KH Pandya,26,19,3,1,136.84
233,N Rana,460,417,58,17,110.31
234,C Munro,131,92,16,6,142.39
235,Sachin Baby,0,3,0,0,0.0
236,ER Dwivedi,5,6,1,0,83.33
237,TM Head,10,17,1,0,58.82
238,JJ Roy,111,96,14,4,115.62
239,Vishnu Vinod,10,21,1,0,47.62
240,RA Tripathi,574,422,73,21,136.02
241,SP Narine,654,392,85,37,166.84
242,MJ McClenaghan,0,1,0,0,0.0
243,BA Stokes,239,185,31,7,129.19
244,C de Grandhomme,1,2,0,0,50.0
245,K Rabada,1,4,0,0,25.0
246,Ishan Kishan,370,324,45,15,114.2
247,SP Jackson,10,9,2,0,111.11
248,PJ Cummins,0,1,0,0,0.0
249,V Shankar,26,37,3,0,70.27
250,R Tewatia,6,7,1,0,85.71
251,MM Ali,75,73,8,4,102.74
252,JM Bairstow,490,362,60,20,135.36
253,PP Shaw,743,526,105,21,141.25
254,SN Khan,36,28,4,1,128.57
255,NS Naik,7,17,1,0,41.18
256,SO Hetmyer,53,53,6,2,100.0
257,SM Curran,68,53,7,4,128.3
258,Shubman Gill,480,409,63,10,117.36
259,SD Lad,15,13,1,1,115.38
260,JL Denly,0,1,0,0,0.0
261,E Lewis,275,205,31,14,134.15
262,DJM Short,50,63,6,0,79.37
263,CH Morris,17,7,2,1,242.86
264,H Klaasen,13,14,1,0,92.86
265,RK Bhui,0,5,0,0,0.0
266,AD Hales,114,82,11,6,139.02
267,K Gowtham,8,4,0,1,200.0
268,AD Nath,11,12,0,1,91.67
269,JC Archer,0,4,0,0,0.0
270,LS Livingstone,57,37,4,5,154.05
271,NA Saini,0,1,0,0,0.0
272,Mohammad Nabi,6,2,0,1,300.0
273,N Pooran,34,27,3,2,125.93
274,MK Lomror,19,17,3,0,111.76
275,S Gopal,0,4,0,0,0.0
276,R Parag,0,11,0,0,0.0
277,D Padikkal,394,311,53,8,126.69
278,YBK Jaiswal,60,56,8,2,107.14
279,JR Philippe,51,57,6,1,89.47
280,P Simran Singh,18,15,3,0,120.0
281,N Jagadeesan,1,3,0,0,33.33
282,T Banton,18,22,1,1,81.82
283,Abdul Samad,2,2,0,0,100.0
284,RD Gaikwad,152,165,17,4,92.12
285,PK Garg,17,13,0,2,130.77
286,JO Holder,4,4,1,0,100.0
287,Washington Sundar,17,26,1,0,65.38
288,RM Patidar,20,25,2,0,80.0
289,Shahbaz Ahmed,14,9,0,1,155.56
290,S Dube,12,16,1,1,75.0
291,M Shahrukh Khan,0,2,0,0,0.0
292,Virat Singh,0,2,0,0,0.0
